item_type,brand,name,price,quantity,rpm,noise_level,color,size
cooler,Corsair, iCUE H115i RGB ELITE,693.24,4,"400,1600","19,35.8",Black,280.0
cooler,Phanteks, GLACIER ONE 360D30,736.57,14,"250,2000",30.2,White,360.0
cooler,MSI, MAG CORELIQUID C240,433.26,46,"500,2000","14.3,34.3",Black,240.0
cooler,Lian Li, Galahad II Trinity,591.58,15,2450,35.4,White,240.0
cooler,Noctua, NH-P1,476.2,56,,0,Silver,
cooler,Asus, ROG RYUO III 360 ARGB WHITE EDITION,809.32,14,2200,36.45,White,360.0
cooler,Deepcool, GAMMAXX AG620 ARGB,207.94,50,"300,1850",29.4,Black,
cooler,Lian Li, Galahad II LCD,996.16,32,"300,2450",30,Black,360.0
cooler,MSI, MAG CORELIQUID E360,584.96,33,,,Black,360.0
cooler,Deepcool, LS520,355.22,24,"500,2250",32.9,Black,240.0
cooler,ID-COOLING, DASHFLOW 240 BASIC,281.56,1,"700,1800","15.2,35.2",Black,240.0
cooler,Cooler Master, MasterLiquid ML360 Illusion,630.93,28,"650,1800","6,30",Black / Silver,360.0
cooler,NZXT, Kraken X73 RGB,1689.65,29,"500,1500","22,33",Black,360.0
cooler,ARCTIC, Freezer 34 eSports DUO,203.95,27,"200,2100",24.4,Black / Gray,
cooler,Thermalright, Assassin King 120 Mini WHITE ARGB V3,82.24,28,1500,25.6,White / Silver,
cooler,Thermalright, AXP90-X36,99.23,14,2700,22.4,Gray,
cooler,Vetroo, V5,121.28,31,"800,1700",30.8,White,
cooler,Thermalright, Burst Assassin ARGB,99.23,1,1550,25.6,Black / Silver,
cooler,Cooler Master, MasterAir MA824 Stealth,433.26,49,,"0,24.6",Black,
cooler,Thermalright, Peerless Assassin 120 White ARGB,170.24,26,1550,25.6,White,
cooler,MSI, MAG CORELIQUID E360 WHITE,602.29,40,,,White,360.0
cooler,MSI, MAG CORELIQUID C360,619.62,23,"500,2000","14.3,34.3",Black,360.0
cooler,Corsair, iCUE H150i ELITE CAPELLIX,1515.6,20,2400,"10,37",White,360.0
cooler,NZXT, Kraken Z53,996.55,57,"500,2000","21,36",Black,240.0
cooler,EK, AIO Basic 360,493.18,56,"550,2200",33.5,Black,360.0
cooler,Cooler Master, Hyper H412R,177.61,38,"600,2000",29.4,Black,
cooler,ID-COOLING, SE-224-XTS BLACK,129.95,37,"600,1500",28.9,Black,
cooler,Gigabyte, AORUS WATERFORCE X II 360 ICE,1256.53,24,"800,2400","12,37.5",White,360.0
cooler,ARCTIC, Liquid Freezer III A-RGB,590.37,30,"200,1900",,White,420.0
cooler,Zalman, CNPS10X Performa,86.62,17,"700,1500",27,Black,
cooler,Vetroo, V360,366.53,57,"800,1800",,White,360.0
cooler,ARCTIC, Alpine 23,51.95,27,"100,2000",,White / Black,
cooler,MSI, MAG CORELIQUID M360,385.64,24,"500,2000","14.3,34.3",Black,360.0
cooler,NZXT, Kraken 280 RGB,693.24,30,"500,1500",34.48,Black,280.0
cooler,Thermalright, Assassin X Refined SE ARGB V2,86.18,53,1550,25.6,Black / Silver,
cooler,NZXT, T120,240.44,8,"500,1800","17.9,30.6",Black,
cooler,Thermalright, Frozen Prism,203.22,18,1850,27,Black,240.0
cooler,be quiet!, Pure Loop 240,432.87,16,,"19,39.5",Black,240.0
cooler,Thermaltake, UX200 SE ARGB,151.57,57,"800,1800",25,White,
cooler,ARCTIC, Freezer 34 eSports DUO,249.36,36,"200,2100",24.4,White / Gray,
cooler,ID-COOLING, DASHFLOW BASIC,346.55,6,"700,1800","15.2,35.2",Black,360.0
cooler,Vetroo, V240,259.94,29,1800,30.8,White / Gray,240.0
cooler,Thermalright, Aqua Elite V3,172.89,2,1500,25.6,Black,120.0
cooler,Corsair, iCUE LINK H100i RGB,649.91,35,"480,2400",,Black,240.0
cooler,ARCTIC, Freezer 34 eSports DUO,199.27,37,"200,2100",24.4,Red / Black,
cooler,Cooler Master, MasterLiquid 360 Atmos,584.91,34,"690,2500",27.2,Black,360.0
cooler,be quiet!, Shadow Rock 3,207.55,50,1600,"11.5,24.4",Black,
cooler,Lian Li, Galahad II Trinity SL-INF,541.58,39,2100,29,Black,240.0
cooler,Asus, ROG STRIX LC II ARGB,498.25,13,"800,2500",37.6,Black,240.0
cooler,Noctua, NH-D9L chromax.black,324.54,50,"400,2000","16.3,22.8",Black,
cooler,Deepcool, AK500S DIGITAL,225.23,53,"500,1850",28,Black,
cooler,Deepcool, MYSTIQUE,649.91,11,"500,2150",36.49,Black,240.0
cooler,EK, AIO Elite 360 D-RGB,463.59,2,"550,2200",31.6,Black,360.0
cooler,EK, EK-Nucleus AIO CR360 Lux D-RGB,710.57,8,"550,2300",36,White,360.0
