item_type,name,price,capacity,cache,form_factor,interface
SSD,Gigabyte Gen3 2500E,396.69,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Gigabyte AORUS Gen5 12000,1169.87,2000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,Western Digital Green SN350,125.61,240.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Samsung 960 Evo,377.23,250.0,512.0,M.2-2280,M.2 PCIe 3.0 X4
SSD,Corsair MP600 PRO LPX,433.26,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,SanDisk SSD PLUS,129.95,240.0,,2.5,SATA 6.0 Gb/s
SSD,TEAMGROUP QX,857.89,4000.0,,2.5,SATA 6.0 Gb/s
SSD,Sabrent Rocket 5,823.23,1000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,MSI SPATIUM M480 PRO,1234.9,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Green,223.37,240.0,,2.5,SATA 6.0 Gb/s
SSD,Patriot P210,424.59,2000.0,,2.5,SATA 6.0 Gb/s
SSD,Corsair MP600 PRO NH,693.24,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Leven JS600,129.95,512.0,,2.5,SATA 6.0 Gb/s
SSD,Samsung 860 Evo,1104.92,2000.0,2048.0,2.5,SATA 6.0 Gb/s
SSD,Verbatim Vi5000,340.14,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Black SN850,489.59,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,TEAMGROUP AX2,238.27,1000.0,,2.5,SATA 6.0 Gb/s
SSD,Lexar NM710,151.61,500.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Corsair MP600 ELITE,693.24,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Intel 670p,645.62,2000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Samsung 970 Pro,866.56,512.0,512.0,M.2-2280,M.2 PCIe 3.0 X4
SSD,Kingston NV1,212.27,500.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Inland Performance Plus,3890.99,8000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Crucial T705 W/Heatsink,1364.85,2000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,Corsair MP600 ELITE,389.93,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,ADATA XPG SX8200 Pro,247.67,512.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,TEAMGROUP MP44,3683.01,8000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,MSI SPATIUM M461,1159.94,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
