item_type,brand,name,price,type,efficiency,wattage,modular,color
psu,EVGA, SuperNOVA 750 G5,684.57,ATX,gold,750,Full,Black / Green
psu,SeaSonic, VERTEX GX-850,606.58,ATX,gold,850,Full,Black / Silver
psu,Corsair, RM850 (2019),821.28,ATX,gold,850,Full,Black
psu,SeaSonic, FOCUS,467.92,ATX,platinum,750,Full,Black
psu,SeaSonic, G12 GC,367.83,ATX,gold,550,false,Black / Blue
psu,Cooler Master, MWE Bronze,385.42,ATX,bronze,500,false,Black
psu,Fractal Design, Ion Gold,769.97,ATX,gold,750,Full,Black
psu,SeaSonic, PRIME TX-750,1515.25,ATX,titanium,750,Full,Black
psu,EVGA, 750 B5,423.68,ATX,bronze,750,Full,Black
psu,SeaSonic, FOCUS,303.27,ATX,gold,550,Semi,Black
psu,Fractal Design, Ion Gold,845.41,ATX,gold,850,Full,Black
psu,EVGA, SuperNOVA 550 GA,736.61,ATX,gold,550,Full,Black
