name,price,capacity,price_per_gb,type,cache,form_factor,interface
ADATA Legend 800,331.08,1000.0,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4 Plus,953.22,2000.0,0.11,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro NAS,1906.48,22000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
FanXiang S500 Pro,281.56,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Evo,505.01,500.0,0.233,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power P34A60,173.28,512.0,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX8200 Pro,407.91,1000.0,0.094,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP700 PRO,2469.77,4000.0,0.142,SSD,,M.2-2280,M.2 PCIe 5.0 X4
ADATA Legend 800,472.25,2000.0,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,95.28,240.0,0.092,SSD,,2.5,SATA 6.0 Gb/s
Klevv CRAS C710,259.94,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,112.61,256.0,0.102,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital AV-GP,108.24,1000.0,0.025,5400,64.0,3.5,SATA 6.0 Gb/s
Leven JPS800,454.92,2000.0,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN550,576.29,1000.0,0.133,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Vortex Redline,337.89,1000.0,0.078,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,719.49,2000.0,0.083,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4 7300,533.18,1000.0,0.123,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700,649.91,1000.0,0.15,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Seagate Constellation ES.3,110.49,1000.0,0.025,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate 1200 SSD,13811.44,800.0,3.984,SSD,,2.5,SAS 12.0 Gb/s
Western Digital Red,389.93,4000.0,0.022,5400,256.0,3.5,SATA 6.0 Gb/s
Acer Predator GM7000,238.27,512.0,0.107,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S7,259.94,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,350.89,500.0,0.162,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,762.56,8000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Q5,277.27,1000.0,0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_BLACK,1083.21,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 980,194.94,250.0,0.18,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,541.41,8000.0,0.016,5640,128.0,3.5,SATA 6.0 Gb/s
Western Digital Blue SN580,255.13,500.0,0.118,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC3000,307.56,512.0,0.139,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,1473.18,4000.0,0.085,SSD,,2.5,SATA 6.0 Gb/s
Seagate Exos X20,1646.5,20000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
Silicon Power P34A60,264.27,1000.0,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel 670p,374.24,1000.0,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP700,1078.87,2000.0,0.124,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Kingston A400,121.28,120.0,0.233,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,779.9,8000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M450,181.9,500.0,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,454.92,2000.0,0.052,SSD,,M.2-2280,M.2 PCIe 3.0 X4
